ID,BOLSISTA,SINALIZADOR_INGRESSANTE,ANOS_PM,ANO_PESQUISA,INDE,IAA,IEG,IPS,IDA,IPP,IPV,IAN,INSTITUICAO_ENSINO_ALUNO,FASE,TURMA,PEDRA,PONTO_VIRADA
31,0,1,0,2020,6.563,8.75,3.6,7.5,6.0,7.292,6.444,10.0,Escola Pública,3,E,Ágata,0
32,1,0,4,2020,7.68,7.5,9.7,6.875,6.667,8.438,8.125,5.0,Rede Decisão/União,5,F,Ametista,0
33,0,1,0,2020,5.604,9.0,6.5,7.5,0.0,6.875,7.333,5.0,Escola Pública,1,N,Quartzo,0
34,0,1,0,2020,6.33,7.917,6.9,7.5,3.5,7.083,7.5,5.0,Escola Pública,2,L,Ágata,0
35,0,1,0,2020,5.989,9.0,7.6,7.5,0.0,7.188,8.0,5.0,Escola Pública,1,F,Quartzo,0
36,1,0,1,2020,9.688,10.0,10.0,10.0,9.0,9.375,9.75,10.0,Rede Decisão/União,3,L,Topázio,1
37,0,1,0,2020,8.958,8.917,10.0,10.0,10.0,7.5,6.583,10.0,Escola Pública,0,B,Topázio,0
38,0,0,3,2020,7.352,9.5,9.0,7.5,5.5,7.188,7.667,5.0,Escola Pública,1,A,Ametista,0
39,0,0,1,2020,6.5,6.917,9.2,7.5,0.0,7.292,7.444,10.0,Escola Pública,2,N,Ágata,0
40,0,0,1,2020,7.386,5.417,8.8,7.5,6.0,8.125,9.111,5.0,Escola Pública,4,L,Ametista,1
41,0,1,0,2020,7.954,8.5,10.0,7.5,8.5,6.875,7.333,5.0,Escola Pública,0,D,Ametista,0
42,1,0,4,2020,8.155,9.167,9.4,5.625,5.333,8.958,9.167,10.0,Rede Decisão/União,4,B,Ametista,1
43,0,1,0,2020,8.75,9.0,10.0,10.0,8.5,7.5,7.0,10.0,Escola Pública,0,B,Topázio,0
44,0,0,1,2020,7.263,9.5,9.9,2.5,10.0,2.5,6.667,5.0,Escola Pública,0,D,Ágata,0
45,0,0,1,2020,5.688,8.333,4.9,7.5,3.667,7.5,5.708,5.0,Escola Pública,6,A,Quartzo,0
46,1,0,4,2020,8.189,8.333,9.2,5.625,6.667,8.75,8.722,10.0,Rede Decisão/União,4,L,Ametista,1
47,1,0,2,2020,9.04,10.0,9.4,7.5,9.5,5.938,9.583,10.0,Rede Decisão/União,2,D,Topázio,1
48,0,0,1,2020,7.938,10.0,10.0,7.5,7.5,6.875,7.5,5.0,Escola Pública,0,G,Ametista,0
49,0,0,1,2020,7.074,8.333,5.8,7.5,7.667,7.969,7.5,5.0,Escola Pública,3,M,Ágata,0
50,0,0,2,2020,6.847,9.0,6.4,6.875,4.5,5.625,7.583,10.0,Escola Pública,2,H,Ágata,0
51,0,0,1,2020,6.755,7.083,6.0,7.5,4.0,7.969,7.5,10.0,Escola Pública,3,B,Ágata,0
52,0,0,1,2020,7.337,9.583,8.2,7.5,6.667,7.969,6.792,5.0,Escola Pública,3,A,Ametista,0
53,0,0,1,2020,6.433,9.167,6.1,6.875,3.0,7.5,8.792,5.0,Escola Pública,7,A,Ágata,1
54,0,0,2,2020,7.394,9.5,8.0,7.5,6.0,8.438,7.75,5.0,Escola Pública,2,D,Ametista,0
55,0,0,2,2020,6.908,9.0,6.5,4.375,7.5,6.875,7.917,5.0,Escola Pública,1,M,Ágata,0
56,0,1,0,2020,7.967,8.0,8.5,7.5,7.0,7.5,7.833,10.0,Escola Pública,1,J,Ametista,0
57,0,1,0,2020,8.598,9.0,10.0,7.5,8.5,7.812,7.333,10.0,Escola Pública,0,F,Topázio,0
58,0,1,0,2020,8.517,9.167,9.6,7.5,8.0,7.969,7.667,10.0,Escola Pública,3,B,Topázio,0
59,0,1,0,2020,8.45,9.5,10.0,7.5,10.0,7.5,7.5,5.0,Escola Pública,0,H,Ametista,0
60,0,1,0,2020,6.854,7.917,7.7,7.5,4.5,7.969,7.875,5.0,Escola Pública,3,L,Ágata,0
61,0,0,2,2020,6.449,7.917,6.8,4.375,5.333,7.708,7.611,5.0,Escola Pública,3,H,Ágata,0
62,0,0,1,2020,7.693,8.5,8.8,7.5,7.5,7.5,7.917,5.0,Escola Pública,1,M,Ametista,0
63,0,0,1,2020,5.331,9.167,1.9,6.875,5.167,7.917,5.111,5.0,Escola Pública,4,A,Quartzo,0
64,0,1,0,2020,8.032,8.0,8.9,7.5,9.5,7.188,7.917,5.0,Escola Pública,1,M,Ametista,0
65,0,0,1,2020,8.342,8.5,7.7,7.5,10.0,7.188,7.417,10.0,Escola Pública,1,D,Ametista,0
66,0,0,1,2020,7.896,9.0,10.0,8.125,9.5,2.5,7.667,5.0,Escola Pública,0,A,Ametista,0
67,0,1,0,2020,7.188,9.0,9.0,7.5,5.0,7.708,7.333,5.0,Escola Pública,1,C,Ágata,0
68,0,0,1,2020,5.854,7.417,10.0,5.625,5.5,2.5,3.5,5.0,Escola Pública,0,G,Quartzo,0
69,0,0,3,2020,7.345,8.75,6.5,7.5,6.0,8.281,6.958,10.0,Escola Pública,4,F,Ametista,0
70,0,0,1,2020,8.429,10.0,9.8,7.5,10.0,7.188,7.5,5.0,Escola Pública,0,D,Ametista,0
71,0,0,1,2020,7.799,9.0,8.4,7.5,6.5,7.188,7.25,10.0,Escola Pública,1,A,Ametista,0
72,0,0,2,2020,4.643,7.5,4.0,4.375,2.0,6.667,5.444,5.0,Escola Pública,5,A,Quartzo,0
73,0,1,0,2020,6.106,9.167,5.8,7.5,4.333,8.125,5.5,5.0,Escola Pública,5,L,Ágata,0
74,1,0,1,2020,8.345,7.917,9.1,7.5,7.333,7.5,8.833,10.0,Rede Decisão/União,7,B,Ametista,1
75,0,0,2,2020,6.386,10.0,7.2,7.5,0.0,7.292,7.333,10.0,Escola Pública,1,C,Ágata,0
76,0,0,1,2020,5.935,9.0,8.0,7.5,0.0,7.292,7.278,5.0,Escola Pública,2,C,Quartzo,0
77,0,0,1,2020,7.132,7.5,8.7,5.625,3.0,8.125,8.333,10.0,Escola Pública,6,B,Ágata,0
78,0,0,1,2020,8.239,9.5,9.5,7.5,7.5,9.167,8.611,5.0,Escola Pública,1,R,Ametista,0
79,1,0,1,2020,7.964,6.25,9.0,7.5,6.333,7.969,8.625,10.0,Rede Decisão/União,3,B,Ametista,0
80,1,0,3,2020,8.168,10.0,9.0,7.5,4.667,8.594,9.125,10.0,Rede Decisão/União,4,F,Ametista,1
81,0,0,1,2020,5.885,8.5,7.1,7.5,0.0,7.812,7.917,5.0,Escola Pública,1,M,Quartzo,0
82,1,0,2,2020,7.111,7.917,8.9,7.5,5.0,6.667,8.111,5.0,Rede Decisão/União,2,J,Ágata,0
83,0,0,1,2020,7.177,9.5,6.4,7.5,6.75,7.917,7.778,5.0,Escola Pública,1,H,Ágata,0
84,0,0,2,2020,6.065,9.167,5.9,3.75,5.0,7.708,6.611,5.0,Escola Pública,3,E,Quartzo,0
85,0,0,2,2020,4.478,8.0,2.3,5.0,0.0,7.292,7.444,5.0,Escola Pública,1,H,Quartzo,0
86,1,0,4,2020,8.892,7.917,10.0,7.5,9.0,0.0,0.0,10.0,Estácio,8,A,Ametista,0
87,0,0,2,2020,7.954,8.5,8.8,7.5,8.5,8.438,7.75,5.0,Escola Pública,1,B,Ametista,0
88,0,0,3,2020,6.44,7.5,8.2,5.0,6.25,2.5,7.75,5.0,Escola Pública,1,G,Ágata,0
89,0,0,1,2020,7.709,9.5,8.7,7.5,7.5,7.188,7.75,5.0,Escola Pública,1,D,Ametista,0
90,0,0,1,2020,8.431,9.0,10.0,7.5,10.0,7.812,7.5,5.0,Escola Pública,0,G,Ametista,0
91,0,0,1,2020,8.082,10.0,8.8,7.5,8.5,7.5,8.111,5.0,Escola Pública,1,J,Ametista,0
92,0,1,0,2020,7.8,9.0,10.0,5.0,10.0,2.5,5.75,10.0,Escola Pública,0,E,Ametista,0
93,0,0,4,2020,3.738,7.917,0.9,3.125,2.833,5.625,4.125,5.0,Escola Pública,5,G,Quartzo,0
94,1,0,3,2020,7.922,9.167,10.0,5.625,7.2,0.0,0.0,10.0,Einstein,5,X,Ametista,0
95,0,0,2,2020,7.863,9.0,10.0,8.125,10.0,2.5,7.0,5.0,Escola Pública,0,E,Ametista,0
96,0,0,2,2020,8.257,10.0,8.3,7.5,7.5,7.917,7.778,10.0,Escola Pública,1,H,Ametista,0
97,0,1,0,2020,6.314,8.75,5.8,7.5,5.667,8.125,6.667,2.5,Escola Pública,3,J,Ágata,0
98,0,1,0,2020,6.414,8.5,8.0,7.5,0.0,7.917,7.111,10.0,Escola Pública,2,G,Ágata,0
99,0,0,2,2020,7.744,7.083,4.7,7.5,9.0,8.125,8.667,10.0,Escola Pública,3,C,Ametista,1
100,0,1,0,2020,7.256,8.0,8.3,5.0,8.0,7.292,7.333,5.0,Escola Pública,1,C,Ágata,0
101,1,0,3,2020,8.734,8.333,9.2,6.875,7.667,9.062,9.667,10.0,Rede Decisão/União,7,B,Topázio,1
102,0,0,2,2020,4.855,7.417,5.1,5.0,0.0,6.042,7.444,5.0,Escola Pública,1,H,Quartzo,0
103,0,0,4,2020,8.539,10.0,9.8,5.0,7.0,8.125,9.333,10.0,Escola Pública,3,F,Topázio,1
104,1,0,3,2020,7.121,8.333,8.3,6.875,6.333,7.656,7.042,5.0,Rede Decisão/União,6,A,Ágata,0
105,0,0,1,2020,8.833,8.333,9.6,7.5,8.667,8.958,8.5,10.0,Escola Pública,3,F,Topázio,0
106,0,0,3,2020,5.519,0.0,6.1,5.625,4.5,5.781,6.292,10.0,Escola Pública,6,A,Quartzo,0
107,0,0,1,2020,6.659,6.25,4.8,7.5,7.667,8.125,7.389,5.0,Escola Pública,3,C,Ágata,0
108,0,0,4,2020,7.356,7.917,5.8,7.5,5.667,8.125,8.542,10.0,Escola Pública,4,F,Ametista,0
109,0,0,1,2020,7.719,7.083,9.4,7.5,8.0,7.969,7.417,5.0,Escola Pública,3,L,Ametista,0
110,0,0,2,2020,3.78,0.0,2.9,6.875,0.0,6.458,6.833,5.0,Escola Pública,2,R,Quartzo,0
111,0,0,2,2020,5.216,0.0,4.3,7.5,2.0,7.812,7.125,10.0,Escola Pública,6,B,Quartzo,0
112,0,1,0,2020,7.843,9.0,9.4,7.5,5.0,8.125,7.5,10.0,Escola Pública,2,D,Ametista,0
113,0,0,1,2020,9.075,9.5,10.0,6.25,10.0,10.0,10.0,5.0,Escola Pública,0,H,Topázio,1
114,1,0,3,2020,8.213,10.0,9.1,7.5,5.667,8.542,8.278,10.0,Rede Decisão/União,5,B,Ametista,0
115,0,0,1,2020,6.346,7.417,10.0,4.375,7.0,2.5,2.583,10.0,Escola Pública,0,H,Ágata,0
116,0,0,2,2020,8.082,9.0,9.7,5.0,9.0,8.75,7.833,5.0,Escola Pública,2,P,Ametista,0
117,0,0,1,2020,8.875,9.5,9.3,7.5,10.0,7.812,7.667,10.0,Escola Pública,1,A,Topázio,0
118,1,0,1,2020,5.96,8.75,0.0,5.625,7.4,0.0,0.0,10.0,UNISA,8,A,Quartzo,0
119,0,0,1,2020,8.943,8.0,9.4,7.5,9.5,8.125,9.0,10.0,Escola Pública,1,B,Topázio,1
120,0,0,1,2020,7.832,9.5,7.9,8.75,5.0,8.438,7.917,10.0,Escola Pública,2,M,Ametista,0
121,0,0,1,2020,8.479,9.0,7.8,7.5,9.5,7.188,8.25,10.0,Escola Pública,1,F,Topázio,0
122,0,0,1,2020,6.593,9.0,5.2,6.875,5.0,8.542,8.056,5.0,Escola Pública,1,E,Ágata,0
123,0,0,4,2020,8.846,9.583,9.7,7.5,8.333,8.75,8.278,10.0,Escola Pública,4,B,Topázio,0
124,1,0,2,2020,7.849,8.5,7.4,5.625,7.5,8.125,8.222,10.0,Rede Decisão/União,2,G,Ametista,0
125,0,1,0,2020,5.981,8.75,3.0,7.5,6.333,7.812,6.042,5.0,Escola Pública,3,L,Quartzo,0
126,0,0,1,2020,5.891,7.333,7.8,7.5,0.0,7.917,7.778,5.0,Escola Pública,1,H,Quartzo,0
127,1,0,4,2020,5.005,8.75,6.1,4.375,2.333,5.833,4.611,5.0,Rede Decisão/União,3,G,Quartzo,0
128,0,0,1,2020,5.96,8.333,3.7,5.0,4.333,7.031,6.583,10.0,Escola Pública,6,C,Quartzo,0
129,1,0,1,2020,8.125,8.333,9.0,7.5,7.667,7.5,7.292,10.0,Rede Decisão/União,3,B,Ametista,0
130,0,0,1,2020,6.493,9.0,8.4,5.0,4.0,5.625,7.75,5.0,Escola Pública,2,H,Ágata,0
131,0,0,3,2020,7.285,9.0,8.8,6.25,9.5,2.5,6.75,5.0,Escola Pública,1,G,Ametista,0
132,0,0,2,2020,6.707,9.0,7.4,6.25,5.5,7.188,6.917,5.0,Escola Pública,1,G,Ágata,0
133,0,0,1,2020,7.639,9.5,8.3,6.875,8.0,7.083,7.667,5.0,Escola Pública,1,J,Ametista,0
134,0,0,1,2020,8.576,8.5,8.9,7.5,10.0,7.292,7.333,10.0,Escola Pública,1,N,Topázio,0
135,1,0,1,2020,8.753,9.167,9.1,7.5,7.667,8.75,9.292,10.0,Rede Decisão/União,7,B,Topázio,1
136,0,1,0,2020,7.252,9.167,8.8,7.5,6.333,7.5,7.792,2.5,Escola Pública,3,A,Ágata,0
137,1,0,3,2020,8.221,7.917,9.2,5.0,6.667,9.062,9.25,10.0,Rede Decisão/União,5,F,Ametista,1
138,1,0,4,2020,8.386,9.583,9.5,6.875,6.333,8.958,8.389,10.0,Rede Decisão/União,5,B,Ametista,0
139,0,0,1,2020,7.631,8.75,10.0,6.875,6.0,8.125,7.778,5.0,Escola Pública,4,A,Ametista,0
140,0,0,1,2020,8.336,8.5,8.9,5.625,8.5,8.438,8.0,10.0,Escola Pública,1,B,Ametista,0
141,1,0,2,2020,8.371,9.167,9.7,5.625,8.0,8.958,9.778,5.0,Rede Decisão/União,3,J,Ametista,1
142,0,0,1,2020,7.099,7.5,8.6,7.5,5.75,7.292,7.5,5.0,Escola Pública,1,J,Ágata,0
143,0,0,3,2020,7.19,6.667,4.2,4.375,8.667,8.125,8.5,10.0,Escola Pública,3,C,Ágata,0
144,0,0,2,2020,4.387,9.0,4.4,7.5,0.0,7.292,4.389,2.5,Escola Pública,1,R,Quartzo,0
145,0,0,2,2020,6.113,7.917,5.6,7.5,3.667,7.292,7.444,5.0,Escola Pública,5,A,Ágata,0
146,0,0,3,2020,6.399,10.0,5.2,7.5,4.333,6.094,5.667,10.0,Escola Pública,3,M,Ágata,0
147,0,0,2,2020,8.019,9.5,8.4,5.625,10.0,7.708,7.778,5.0,Escola Pública,1,E,Ametista,0
148,0,0,1,2020,8.241,8.75,9.6,9.375,7.333,8.75,8.333,5.0,Escola Pública,5,L,Ametista,0
149,0,0,2,2020,6.646,8.5,6.2,5.0,6.5,6.562,8.0,5.0,Escola Pública,1,F,Ágata,0
150,0,1,0,2020,7.902,7.917,9.9,7.5,7.667,7.969,7.75,5.0,Escola Pública,3,A,Ametista,0
151,0,1,0,2020,5.113,9.5,0.0,7.5,1.0,8.125,7.0,10.0,Escola Pública,2,D,Quartzo,0
152,0,1,0,2020,6.956,8.0,6.0,6.875,7.5,7.188,7.75,5.0,Escola Pública,1,G,Ágata,0
153,0,0,1,2020,8.302,7.417,8.5,7.5,7.5,8.438,8.833,10.0,Escola Pública,2,H,Ametista,1
154,0,1,0,2020,6.84,9.0,7.7,7.5,3.75,8.333,7.833,5.0,Escola Pública,2,C,Ágata,0
155,0,0,1,2020,8.486,10.0,9.9,6.875,7.667,8.958,9.444,5.0,Escola Pública,4,B,Topázio,1
156,0,0,1,2020,4.416,6.667,1.3,4.375,0.0,7.188,6.667,10.0,Escola Pública,5,F,Quartzo,0
157,0,0,3,2020,7.586,9.0,8.9,4.375,7.25,4.688,7.75,10.0,Escola Pública,1,D,Ametista,0
158,0,1,0,2020,7.713,9.0,8.9,7.5,5.0,7.5,7.667,10.0,Escola Pública,2,B,Ametista,0
159,0,0,1,2020,7.201,8.333,8.7,4.375,6.0,8.125,8.389,5.0,Escola Pública,3,J,Ágata,0
160,0,0,2,2020,6.337,8.5,6.6,5.0,6.5,5.0,6.833,5.0,Escola Pública,1,G,Ágata,0
161,1,0,4,2020,8.388,5.833,10.0,5.625,9.2,0.0,0.0,10.0,Estácio,8,A,Ametista,0
162,1,0,1,2020,6.777,9.167,0.0,7.5,8.4,0.0,0.0,10.0,UNISA,8,A,Ágata,0
163,0,0,1,2020,8.848,10.0,9.2,7.5,9.5,7.917,7.833,10.0,Escola Pública,1,J,Topázio,0
164,1,0,2,2020,7.361,8.5,8.3,7.5,6.5,6.458,8.278,5.0,Rede Decisão/União,2,J,Ametista,0
165,0,0,1,2020,3.891,6.667,1.4,4.375,0.0,5.156,4.958,10.0,Escola Pública,7,B,Quartzo,0
166,0,0,1,2020,8.2,8.5,6.5,7.5,10.0,7.5,7.75,10.0,Escola Pública,1,G,Ametista,0
167,0,0,1,2020,8.509,10.0,9.1,7.5,8.5,5.833,8.278,10.0,Escola Pública,2,J,Topázio,0
168,0,1,0,2020,7.9,7.5,10.0,7.5,6.5,7.5,6.75,10.0,Escola Pública,0,F,Ametista,0
169,0,0,1,2020,9.461,9.167,10.0,9.375,8.667,8.958,9.889,10.0,Escola Pública,4,A,Topázio,1
170,0,1,0,2020,6.428,7.417,7.7,7.5,0.0,8.125,7.917,10.0,Escola Pública,2,M,Ágata,0
171,0,1,0,2020,8.3,9.0,10.0,7.5,10.0,7.5,7.0,5.0,Escola Pública,0,B,Ametista,0
172,0,0,1,2020,7.183,9.0,9.5,7.5,2.0,7.5,7.417,10.0,Escola Pública,2,B,Ágata,0
173,0,0,1,2020,4.916,4.583,2.0,7.5,2.0,6.406,6.333,10.0,Escola Pública,6,A,Quartzo,0
174,1,0,4,2020,6.053,8.0,9.1,5.0,4.5,2.5,6.417,5.0,Rede Decisão/União,1,B,Quartzo,0
175,0,0,1,2020,8.064,8.75,7.9,7.5,6.667,8.594,8.333,10.0,Escola Pública,6,A,Ametista,0
176,0,1,0,2020,6.859,7.5,4.1,7.5,9.0,7.969,7.208,5.0,Escola Pública,3,M,Ágata,0
177,1,0,3,2020,7.984,7.917,8.6,7.5,7.0,7.969,7.625,10.0,Rede Decisão/União,7,B,Ametista,0
178,0,0,3,2020,7.68,8.0,7.9,7.5,8.5,7.5,8.0,5.0,Escola Pública,1,F,Ametista,0
179,0,0,1,2020,8.258,9.5,9.2,7.5,10.0,7.292,7.444,5.0,Escola Pública,1,H,Ametista,0
180,0,1,0,2020,7.471,8.5,10.0,4.375,9.5,2.5,5.167,10.0,Escola Pública,0,B,Ametista,0
181,1,0,4,2020,8.952,8.333,9.9,10.0,7.0,9.167,9.111,10.0,Rede Decisão/União,5,B,Topázio,1
182,0,0,2,2020,5.913,8.333,2.1,7.5,4.333,7.344,6.542,10.0,Escola Pública,7,A,Quartzo,0
183,0,0,2,2020,8.137,9.167,9.7,7.5,7.333,8.75,8.444,5.0,Escola Pública,3,C,Ametista,0
184,0,0,2,2020,7.595,8.333,9.4,7.5,7.0,8.542,6.889,5.0,Escola Pública,3,C,Ametista,0
185,1,0,2,2020,9.097,9.167,10.0,7.5,9.2,0.0,0.0,10.0,FIAP,8,A,Topázio,0
186,1,0,4,2020,8.134,9.0,9.2,5.625,8.0,5.312,8.5,10.0,Rede Decisão/União,2,B,Ametista,0
187,0,1,0,2020,7.583,7.5,8.1,7.5,8.0,8.125,9.0,2.5,Escola Pública,3,J,Ametista,1
188,0,0,1,2020,4.349,0.0,3.8,5.0,0.0,6.719,7.083,10.0,Escola Pública,6,A,Quartzo,0
189,0,0,1,2020,8.5,8.5,10.0,7.5,10.0,7.5,5.75,10.0,Escola Pública,0,F,Topázio,0
190,0,0,1,2020,8.419,9.0,8.0,7.5,9.5,7.188,7.75,10.0,Escola Pública,1,A,Ametista,0
191,0,0,1,2020,7.792,9.5,10.0,6.25,9.5,2.5,7.833,5.0,Escola Pública,0,D,Ametista,0
192,0,1,0,2020,9.2,9.5,10.0,7.5,10.0,10.0,10.0,5.0,Escola Pública,0,C,Topázio,1
193,0,0,1,2020,7.166,10.0,8.3,6.25,6.0,7.917,6.944,5.0,Escola Pública,2,G,Ágata,0
194,0,0,4,2020,4.656,9.167,3.4,4.375,0.0,7.969,6.625,5.0,Escola Pública,4,F,Quartzo,0
195,0,0,1,2020,6.408,7.5,8.1,5.0,4.0,7.708,7.333,5.0,Escola Pública,1,N,Ágata,0
196,0,0,1,2020,8.175,8.5,9.3,7.5,7.0,7.708,7.722,10.0,Escola Pública,2,F,Ametista,0
197,0,0,1,2020,5.668,9.0,4.3,5.625,0.0,8.125,7.667,10.0,Escola Pública,1,F,Quartzo,0
198,0,0,1,2020,7.813,9.0,9.9,4.375,7.5,5.625,7.167,10.0,Escola Pública,1,B,Ametista,0
199,1,0,3,2020,8.396,9.583,9.6,5.0,6.667,8.594,9.125,10.0,Rede Decisão/União,5,G,Ametista,1
200,0,0,4,2020,8.326,9.167,9.4,7.5,6.667,8.125,8.167,10.0,Escola Pública,3,F,Ametista,0
201,1,0,1,2020,8.695,8.75,10.0,7.5,8.3,0.0,0.0,10.0,UNISA,8,A,Ametista,0
202,0,0,1,2020,8.613,8.75,9.9,7.5,6.5,8.75,9.167,10.0,Escola Pública,3,G,Topázio,1
203,1,0,3,2020,7.38,7.917,7.8,5.0,7.333,5.781,7.417,10.0,Rede Decisão/União,7,B,Ametista,0
204,0,0,3,2020,6.817,9.0,8.0,5.0,6.0,7.5,6.833,5.0,Escola Pública,2,E,Ágata,0
205,0,0,3,2020,6.217,8.75,5.0,5.625,5.667,8.125,6.667,5.0,Escola Pública,3,M,Ágata,0
206,1,0,4,2020,9.335,9.0,9.5,7.5,9.5,9.688,9.583,10.0,Rede Decisão/União,2,B,Topázio,1
207,1,0,3,2020,7.412,9.583,6.7,4.375,6.0,8.542,8.111,10.0,Rede Decisão/União,3,G,Ametista,0
208,1,0,4,2020,7.969,7.917,9.7,3.75,7.0,8.125,8.25,10.0,Rede Decisão/União,5,G,Ametista,0
209,0,0,2,2020,5.682,10.0,6.6,5.0,4.167,5.625,4.833,5.0,Escola Pública,3,H,Quartzo,0
210,1,0,4,2020,5.395,0.0,0.0,4.375,8.8,0.0,0.0,10.0,FIAP,8,A,Quartzo,0
211,0,0,1,2020,6.443,9.5,9.8,2.5,8.5,2.5,4.167,5.0,Escola Pública,0,D,Ágata,0
212,1,0,1,2020,8.848,8.333,10.0,6.875,9.1,0.0,0.0,10.0,FIAP,8,A,Ametista,0
213,0,0,1,2020,7.919,9.5,10.0,6.875,7.5,7.812,7.5,5.0,Escola Pública,0,E,Ametista,0
214,0,1,0,2020,7.338,8.75,8.6,7.5,6.0,7.708,7.611,5.0,Escola Pública,3,R,Ametista,0
215,0,0,2,2020,6.289,9.0,5.6,4.375,6.0,6.875,7.222,5.0,Escola Pública,2,R,Ágata,0
216,0,0,2,2020,7.042,8.0,8.8,7.5,5.5,6.875,7.222,5.0,Escola Pública,2,C,Ágata,0
217,0,1,0,2020,8.404,8.333,9.0,7.5,9.333,8.542,9.0,5.0,Escola Pública,5,A,Ametista,1
218,0,0,1,2020,7.425,8.333,5.3,7.5,7.667,7.708,7.389,10.0,Escola Pública,5,A,Ametista,0
219,0,0,3,2020,7.213,9.0,7.5,6.875,4.25,7.083,7.833,10.0,Escola Pública,2,F,Ágata,0
220,1,0,4,2020,5.935,7.5,5.3,5.0,6.333,6.25,6.167,5.0,Rede Decisão/União,4,F,Quartzo,0
221,0,0,1,2020,7.455,7.5,9.1,7.5,8.0,8.125,6.111,5.0,Escola Pública,4,A,Ametista,0
222,1,0,4,2020,7.688,9.167,9.5,4.375,6.667,7.5,6.75,10.0,Rede Decisão/União,3,B,Ametista,0
223,0,1,0,2020,4.234,0.0,4.6,6.875,0.0,7.708,6.778,5.0,Escola Pública,2,P,Quartzo,0
